epoch,train_loss,train_accuracy,val_loss,val_accuracy,macro_f1s
1,0.25938920897466167,84.98263888888889,0.20870843304631612,94.44444444444444,0.9218771092555624
2,0.1783546271768433,90.10416666666666,0.26749510595497367,92.88194444444444,0.9123803983679428
3,0.14123253586391607,92.15856481481481,0.22941415541572496,93.57638888888889,0.9224670457955485
4,0.12452727745942495,93.46064814814815,0.23918278846873717,95.13888888888889,0.9337870548433679
5,0.12090508782960198,93.60532407407408,0.14296032662645708,95.83333333333334,0.9394045333758266
6,0.10714005380523978,94.18402777777779,0.12535027547791186,95.83333333333334,0.9394045333758266
7,0.11499246867822001,93.57638888888889,0.19910863065645876,93.92361111111111,0.9265662544687335
8,0.11559226621735703,93.89467592592592,0.13637253530335633,96.00694444444444,0.94299741741619
9,0.11186007180906556,93.69212962962963,0.14117984409474754,96.00694444444444,0.94229906361418
10,0.10495100160025889,95.25462962962963,0.26970737619234975,91.31944444444444,0.9010925735610318
11,0.10147603511534355,94.79166666666666,0.16188623732179824,95.83333333333334,0.9435107720815602
12,0.09713199409587239,95.19675925925925,0.15064186131106302,97.22222222222221,0.9624048306642163
13,0.09825098542151628,95.39930555555556,0.16743894838711842,94.79166666666666,0.9343502189155262
14,0.09359577703462155,95.3125,0.15543829012641355,96.35416666666666,0.9479685749956454
15,0.09505178253338845,94.96527777777779,0.1459581821684171,95.48611111111111,0.9407390730547133
16,0.09791458633521365,95.3125,0.15747697427266555,96.52777777777779,0.9518625243311324
17,0.09491453427579943,95.39930555555556,0.1566966710684533,95.65972222222221,0.9372612625405733
18,0.08812661177513224,95.3125,0.14662116201563752,95.65972222222221,0.9401689530111145
19,0.08418678315960008,95.86226851851852,0.131135804188135,96.00694444444444,0.9467225426580149
20,0.09494302924549966,95.28356481481481,0.1594521465177397,96.00694444444444,0.9438069751636305
21,0.093201851627479,95.16782407407408,0.1803720262299938,94.96527777777779,0.9344493687063673
22,0.08964402702878471,94.9074074074074,0.1708878745702249,96.00694444444444,0.9449534185122488
23,0.08991261916580023,95.83333333333334,0.1826281559863345,96.35416666666666,0.9438123692258168
24,0.09438151852831382,95.60185185185185,0.16256760369853712,94.96527777777779,0.9355889168844096
25,0.09055378922709713,95.28356481481481,0.15791069731515173,95.65972222222221,0.9421069797782126
26,0.0792067275830993,95.94907407407408,0.15768738415449157,94.96527777777779,0.9355889168844096
