epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,1.2203678574672965,62.73255813953489,1.0469821994587527,60.27542372881356
2,0.9817413684933685,62.73255813953489,1.0216518337443723,60.063559322033896
3,0.9078774230424748,63.82267441860465,0.8639619794942565,75.05296610169492
4,0.7748195820076521,72.84883720930233,0.7926456887843245,73.99364406779661
5,0.7068541316098945,74.97093023255815,0.742173041327525,73.62288135593221
6,0.6571967912274738,76.80232558139535,0.6746571266045005,77.0656779661017
7,0.575117116196211,80.26162790697674,0.5926214113073834,81.03813559322035
8,0.5449131644049356,81.51162790697674,0.5905964051262808,80.8792372881356
9,0.5406554366267005,81.65697674418605,0.5847524303500935,81.19703389830508
10,0.5377246085987535,81.67151162790698,0.592851469072245,80.50847457627118
11,0.5304103302401165,81.94767441860465,0.5863525867462158,80.77330508474576
12,0.5366082402162774,81.46802325581395,0.582294435824378,81.09110169491525
13,0.5302410125732422,81.36627906976744,0.575283123274981,81.09110169491525
14,0.525462794581125,81.91860465116278,0.5684642428058689,81.40889830508475
15,0.5236803808877635,81.88953488372093,0.5619259244304592,81.72669491525424
16,0.5349341464597125,81.58430232558139,0.5579904216831013,81.5677966101695
17,0.528959607800772,81.55523255813954,0.5565912804361117,81.83262711864407
18,0.5185815226200015,82.0203488372093,0.5643610509775453,81.30296610169492
19,0.5162168780038523,82.00581395348837,0.5531851275492523,82.36228813559322
20,0.5161378638688908,81.81686046511628,0.5508920176554535,82.04449152542372
21,0.5141823069993839,81.88953488372093,0.559123265541206,81.46186440677965
22,0.5145149158876996,82.18023255813954,0.5721641920380673,80.72033898305084
23,0.5116101065347362,82.12209302325581,0.5615726850800595,81.09110169491525
24,0.511488546327103,82.00581395348837,0.559386936284728,81.46186440677965
