epoch,train_loss,train_accuracy,test_loss,test_accuracy
1,1.3273165102988955,41.20743727598566,1.5173612053577716,12.916050295857989
2,1.2550183638693795,46.6349846390169,1.4801254730958204,12.916050295857989
3,1.1400021309890445,50.01360087045571,1.2161478125132048,36.15014792899408
4,0.9603434469964769,57.90130568356374,1.0936187093074505,36.27958579881657
5,0.9337954554292891,58.79256272401434,1.0760759527866657,35.91900887573965
6,0.9238235297657195,59.04137864823349,1.105309559748723,35.67862426035503
7,0.9195980656714666,59.36539938556067,1.0849833534314082,35.8542899408284
8,0.9145351217852699,59.543010752688176,1.1054278382888207,36.51997041420118
9,0.9112327931419252,59.41340245775729,1.0418037221981928,38.01775147928994
10,0.9056391815344492,60.25745647721455,1.0712590767787054,38.387573964497044
11,0.8990262576511928,60.63028033794162,1.0487946684543903,40.828402366863905
12,0.8942258958778684,61.62234383000512,1.0414919807360723,41.678994082840234
13,0.8802797671348329,62.616807475678435,1.0806214580169091,44.38794378698225
14,0.8695324621503315,62.81762032770097,0.9878036150565515,49.195636094674555
15,0.8616991397880372,63.084837429595495,0.9658090036648971,50.98927514792899
16,0.8555409756917802,63.4568612391193,1.0139143008452196,45.89497041420118
17,0.8466302979560125,63.90649001536099,0.9981458691450266,46.84726331360947
18,0.8404809298023345,64.30011520737327,1.0221518644919763,45.220044378698226
19,0.8302486387510148,65.47139016897083,1.0146747965079088,47.91974852071006
20,0.8113443619675107,65.41778673835125,0.9986896423193125,47.928994082840234
21,0.8016886351600526,66.33704557091653,1.0019427216970003,46.1353550295858
22,0.795093698160989,66.18423579109063,0.9936199394556192,46.72707100591716
23,0.7921478464489892,66.38424859190988,1.005435558465811,46.08912721893491
24,0.7868093185954623,67.00188812083974,0.9943403441172379,47.26331360946745
25,0.7862273331672426,67.00668842805939,0.9964433770913345,46.671597633136095
26,0.786591196817065,66.93308371735792,0.9949232706656823,47.143121301775146
27,0.7815056064772228,67.3539106502816,1.0011378389138441,46.49593195266272
28,0.7820824748939939,67.10429467485919,0.9900512649462774,46.967455621301774
29,0.7839853347293915,67.32750896057348,0.99467589534246,46.61612426035503
30,0.782201245663658,67.35551075268818,0.9993313550949097,46.44045857988166
31,0.781431142772947,67.15389784946237,0.9913616019945878,47.49445266272189
32,0.781679266028934,67.08029313876087,0.9914036668263949,47.31878698224852
33,0.7838379409578111,67.45311699948796,0.9891582200160394,47.143121301775146
34,0.7836499152675508,66.97708653353814,0.9970006071604215,47.143121301775146
